"Treatment","Clusters","Block","Repetition","Yield","Number_of_Fruits"
"Infes+Captan","Cluster1",1,"3","0","0"
"Infes+Captan","Cluster2",1,"3","993.4","7"
"Infes+Captan","Cluster3",1,"3","0","0"
"Infes+Captan","Cluster4",1,"3","752","6"
"Infes+Captan","Cluster5",1,"3","569","6"
"Infes+Captan","Cluster6",1,"3","0","0"
"Infes+Captan","Cluster1",2,"1","869.2","7"
"Infes+Captan","Cluster2",2,"1","1064.3","8"
"Infes+Captan","Cluster3",2,"1","2781.2","7"
"Infes+Captan","Cluster4",2,"1","648","6"
"Infes+Captan","Cluster5",2,"1","355.9","5"
"Infes+Captan","Cluster6",2,"1","254.5","3"
"Infes+Captan","Cluster1",2,"2","207.1","2"
"Infes+Captan","Cluster2",2,"2","935.3","8"
"Infes+Captan","Cluster3",2,"2","1096","8"
"Infes+Captan","Cluster4",2,"2","942","6"
"Infes+Captan","Cluster5",2,"2","571.31000000000006","5"
"Infes+Captan","Cluster6",2,"2","0","0"
"Infes+Captan","Cluster1",2,"3","851.5","8"
"Infes+Captan","Cluster2",2,"3","630.40000000000009","6"
"Infes+Captan","Cluster3",2,"3","1572.8","9"
"Infes+Captan","Cluster4",2,"3","916","6"
"Infes+Captan","Cluster5",2,"3","1478.3999999999999","14"
"Infes+Captan","Cluster6",2,"3","0","0"
"Infes+Captan","Cluster1",3,"1","434.1","4"
"Infes+Captan","Cluster2",3,"1","1112.2","9"
"Infes+Captan","Cluster3",3,"1","1007.4136000000001","8"
"Infes+Captan","Cluster4",3,"1","697","6"
"Infes+Captan","Cluster5",3,"1","0","0"
"Infes+Captan","Cluster6",3,"1","0","0"
"Infes+Captan","Cluster1",3,"2","820","7"
"Infes+Captan","Cluster2",3,"2","1218.8","9"
"Infes+Captan","Cluster3",3,"2","1335.8","8"
"Infes+Captan","Cluster4",3,"2","699","6"
"Infes+Captan","Cluster5",3,"2","0","0"
"Infes+Captan","Cluster6",3,"2","0","0"
"Infes+Captan","Cluster1",3,"3","1004.9999999999999","9"
"Infes+Captan","Cluster2",3,"3","1004.8","8"
"Infes+Captan","Cluster3",3,"3","0","0"
"Infes+Captan","Cluster4",3,"3","820","6"
"Infes+Captan","Cluster5",3,"3","0","0"
"Infes+Captan","Cluster6",3,"3","0","0"
"Infes+Captan","Cluster1",4,"1","841.5","8"
"Infes+Captan","Cluster2",4,"1","963.5","9"
"Infes+Captan","Cluster3",4,"1","904","6"
"Infes+Captan","Cluster4",4,"1","603","6"
"Infes+Captan","Cluster5",4,"1","1014.6","7"
"Infes+Captan","Cluster6",4,"1","279.2","2"
"Infes+Captan","Cluster1",4,"2","1096.3000000000002","8"
"Infes+Captan","Cluster2",4,"2","1009.4000000000001","9"
"Infes+Captan","Cluster3",4,"2","0","0"
"Infes+Captan","Cluster4",4,"2","583","6"
"Infes+Captan","Cluster5",4,"2","1000.0999999999999","9"
"Infes+Captan","Cluster6",4,"2","439.29999999999995","3"
"Infes+Captan","Cluster1",4,"3","834.10000000000014","6"
"Infes+Captan","Cluster2",4,"3","380.55","8"
"Infes+Captan","Cluster3",4,"3","0","0"
"Infes+Captan","Cluster4",4,"3","410","6"
"Infes+Captan","Cluster5",4,"3","861","6"
"Infes+Captan","Cluster6",4,"3","382.70000000000005","3"
"Infes+Captan","Cluster1",5,"1","1047.1000000000001","9"
"Infes+Captan","Cluster2",5,"1","1124.8000000000002","9"
"Infes+Captan","Cluster3",5,"1","1124.2","7"
"Infes+Captan","Cluster4",5,"1","547","6"
"Infes+Captan","Cluster5",5,"1","208.8","2"
"Infes+Captan","Cluster6",5,"1","0","0"
"Infes+Captan","Cluster1",5,"2","911.09999999999991","7"
"Infes+Captan","Cluster2",5,"2","1370.8","11"
"Infes+Captan","Cluster3",5,"2","2627.2999999999997","6"
"Infes+Captan","Cluster4",5,"2","884","6"
"Infes+Captan","Cluster5",5,"2","674","5"
"Infes+Captan","Cluster6",5,"2","549.79999999999995","4"
"Infes+Captan","Cluster1",5,"3","832.80000000000007","7"
"Infes+Captan","Cluster2",5,"3","843","3"
"Infes+Captan","Cluster3",5,"3","875.7","6"
"Infes+Captan","Cluster4",5,"3","889","6"
"Infes+Captan","Cluster5",5,"3","684.3","5"
"Infes+Captan","Cluster6",5,"3","194.5","2"
